DateTime,activity,M,z,m
22-Feb-16 02:39 AM,0,,,
22-Feb-16 02:40 AM,0,,,
22-Feb-16 02:41 AM,0,,,
22-Feb-16 02:42 AM,0,,,
22-Feb-16 02:43 AM,0,,,
22-Feb-16 02:44 AM,0,,,
22-Feb-16 02:45 AM,0,,,
22-Feb-16 02:46 AM,0,,,
22-Feb-16 02:47 AM,0,,,
22-Feb-16 02:48 AM,0,,,
22-Feb-16 02:49 AM,0,,,
22-Feb-16 02:50 AM,0,,,
22-Feb-16 02:51 AM,0,,,
22-Feb-16 02:52 AM,0,,,
22-Feb-16 02:53 AM,0,,,
22-Feb-16 02:54 AM,0,,,
22-Feb-16 02:55 AM,0,,,
22-Feb-16 02:56 AM,0,,,
22-Feb-16 02:57 AM,0,,,
22-Feb-16 02:58 AM,0,,,
22-Feb-16 02:59 AM,0,,,
22-Feb-16 03:00 AM,0,,,
22-Feb-16 03:01 AM,0,,,
22-Feb-16 03:02 AM,0,,,
22-Feb-16 03:03 AM,0,,,
22-Feb-16 03:04 AM,0,,,
22-Feb-16 03:05 AM,0,,,
22-Feb-16 03:06 AM,0,,,
22-Feb-16 03:07 AM,0,,,
22-Feb-16 03:08 AM,0,,,
22-Feb-16 03:09 AM,0,,,
22-Feb-16 03:10 AM,0,,,
22-Feb-16 03:11 AM,0,,,
22-Feb-16 03:12 AM,0,,,
22-Feb-16 03:13 AM,0,,,
22-Feb-16 03:14 AM,0,,,
22-Feb-16 03:15 AM,0,,,
22-Feb-16 03:16 AM,0,,,
22-Feb-16 03:17 AM,0,,,
22-Feb-16 03:18 AM,0,,,
22-Feb-16 03:19 AM,0,,,
22-Feb-16 03:20 AM,0,,,
22-Feb-16 03:21 AM,0,,,
22-Feb-16 03:22 AM,0,,,
22-Feb-16 03:23 AM,0,,,
22-Feb-16 03:24 AM,0,,,
22-Feb-16 03:25 AM,0,,,
22-Feb-16 03:26 AM,0,,,
22-Feb-16 03:27 AM,0,,,
22-Feb-16 03:28 AM,0,,,
22-Feb-16 03:29 AM,0,,,
22-Feb-16 03:30 AM,0,,,
22-Feb-16 03:31 AM,0,,,
22-Feb-16 03:32 AM,0,,,
22-Feb-16 03:33 AM,0,,,
22-Feb-16 03:34 AM,0,,,
22-Feb-16 03:35 AM,0,,,
22-Feb-16 03:36 AM,0,,,
22-Feb-16 03:37 AM,0,,,
22-Feb-16 03:38 AM,0,,,
22-Feb-16 03:39 AM,0,,,
22-Feb-16 03:40 AM,0,,,
22-Feb-16 03:41 AM,0,,,
22-Feb-16 03:42 AM,0,,,
22-Feb-16 03:43 AM,0,,,
22-Feb-16 03:44 AM,0,,,
22-Feb-16 03:45 AM,0,,,
22-Feb-16 03:46 AM,0,,,
22-Feb-16 03:47 AM,0,,,
22-Feb-16 03:48 AM,0,,,
22-Feb-16 03:49 AM,0,,,
22-Feb-16 03:50 AM,0,,,
22-Feb-16 03:51 AM,0,,,
22-Feb-16 03:52 AM,0,,,
22-Feb-16 03:53 AM,0,,,
22-Feb-16 03:54 AM,0,,,
22-Feb-16 03:55 AM,0,,,
22-Feb-16 03:56 AM,0,,,
22-Feb-16 03:57 AM,0,,,
22-Feb-16 03:58 AM,0,,,
22-Feb-16 03:59 AM,0,,,
22-Feb-16 04:00 AM,0,,,
22-Feb-16 04:01 AM,0,,,
22-Feb-16 04:02 AM,0,,,
22-Feb-16 04:03 AM,0,,,
22-Feb-16 04:04 AM,0,,,
22-Feb-16 04:05 AM,0,,,
22-Feb-16 04:06 AM,0,,,
22-Feb-16 04:07 AM,0,,,
22-Feb-16 04:08 AM,0,,,
22-Feb-16 04:09 AM,0,,,
22-Feb-16 04:10 AM,0,,,
22-Feb-16 04:11 AM,0,,,
22-Feb-16 04:12 AM,0,,,
22-Feb-16 04:13 AM,0,,,
22-Feb-16 04:14 AM,0,,,
22-Feb-16 04:15 AM,0,,,
22-Feb-16 04:16 AM,0,,,
22-Feb-16 04:17 AM,0,,,
22-Feb-16 04:18 AM,0,,,
22-Feb-16 04:19 AM,0,,,
22-Feb-16 04:20 AM,0,,,
22-Feb-16 04:21 AM,0,,,
22-Feb-16 04:22 AM,0,,,
22-Feb-16 04:23 AM,0,,,
22-Feb-16 04:24 AM,0,,,
22-Feb-16 04:25 AM,0,,,
22-Feb-16 04:26 AM,0,,,
22-Feb-16 04:27 AM,0,,,
22-Feb-16 04:28 AM,0,,,
22-Feb-16 04:29 AM,0,,,
22-Feb-16 04:30 AM,0,,,
22-Feb-16 04:31 AM,0,,,
22-Feb-16 04:32 AM,0,,,
22-Feb-16 04:33 AM,0,,,
22-Feb-16 04:34 AM,0,,,
22-Feb-16 04:35 AM,0,,,
22-Feb-16 04:36 AM,0,,,
22-Feb-16 04:37 AM,0,,,
22-Feb-16 04:38 AM,0,,,
22-Feb-16 04:39 AM,0,,,
22-Feb-16 04:40 AM,0,,,
22-Feb-16 04:41 AM,0,,,
22-Feb-16 04:42 AM,0,,,
22-Feb-16 04:43 AM,0,,,
22-Feb-16 04:44 AM,0,,,
22-Feb-16 04:45 AM,0,,,
22-Feb-16 04:46 AM,0,,,
22-Feb-16 04:47 AM,0,,,
22-Feb-16 04:48 AM,0,,,
22-Feb-16 04:49 AM,0,,,
22-Feb-16 04:50 AM,0,,,
22-Feb-16 04:51 AM,0,,,
22-Feb-16 04:52 AM,0,,,
22-Feb-16 04:53 AM,0,,,
22-Feb-16 04:54 AM,0,,,
22-Feb-16 04:55 AM,0,,,
22-Feb-16 04:56 AM,0,,,
22-Feb-16 04:57 AM,0,,,
22-Feb-16 04:58 AM,0,,,
22-Feb-16 04:59 AM,0,,,
22-Feb-16 05:00 AM,0,,,
22-Feb-16 05:01 AM,0,,,
22-Feb-16 05:02 AM,0,,,
22-Feb-16 05:03 AM,0,,,
22-Feb-16 05:04 AM,0,,,
22-Feb-16 05:05 AM,0,,,
22-Feb-16 05:06 AM,0,,,
22-Feb-16 05:07 AM,0,,,
22-Feb-16 05:08 AM,0,,,
22-Feb-16 05:09 AM,0,,,
22-Feb-16 05:10 AM,0,,,
22-Feb-16 05:11 AM,0,,,
22-Feb-16 05:12 AM,0,,,
22-Feb-16 05:13 AM,0,,,
22-Feb-16 05:14 AM,0,,,
22-Feb-16 05:15 AM,0,,,
22-Feb-16 05:16 AM,0,,,
22-Feb-16 05:17 AM,0,,,
22-Feb-16 05:18 AM,0,,,
22-Feb-16 05:19 AM,0,,,
22-Feb-16 05:20 AM,0,,,
22-Feb-16 05:21 AM,0,,,
22-Feb-16 05:22 AM,0,,,
22-Feb-16 05:23 AM,0,,,
22-Feb-16 05:24 AM,0,,,
22-Feb-16 05:25 AM,0,,,
22-Feb-16 05:26 AM,0,,,
22-Feb-16 05:27 AM,0,,,
22-Feb-16 05:28 AM,0,,,
22-Feb-16 05:29 AM,0,,,
22-Feb-16 05:30 AM,0,,,
22-Feb-16 05:31 AM,0,,,
22-Feb-16 05:32 AM,0,,,
22-Feb-16 05:33 AM,0,,,
22-Feb-16 05:34 AM,0,,,
22-Feb-16 05:35 AM,0,,,
22-Feb-16 05:36 AM,0,,,
22-Feb-16 05:37 AM,0,,,
22-Feb-16 05:38 AM,0,,,
22-Feb-16 05:39 AM,0,,,
22-Feb-16 05:40 AM,0,,,
22-Feb-16 05:41 AM,0,,,
22-Feb-16 05:42 AM,0,,,
22-Feb-16 05:43 AM,0,,,
22-Feb-16 05:44 AM,0,,,
22-Feb-16 05:45 AM,0,,,
22-Feb-16 05:46 AM,0,,,
22-Feb-16 05:47 AM,0,,,
22-Feb-16 05:48 AM,0,,,
22-Feb-16 05:49 AM,0,,,
22-Feb-16 05:50 AM,0,,,
22-Feb-16 05:51 AM,0,,,
22-Feb-16 05:52 AM,0,,,
22-Feb-16 05:53 AM,0,,,
22-Feb-16 05:54 AM,0,,,
22-Feb-16 05:55 AM,0,,,
22-Feb-16 05:56 AM,0,,,
22-Feb-16 05:57 AM,0,,,
22-Feb-16 05:58 AM,0,,,
